,Gene,AccNum,seqlogo_logL_L24_t1,seqlogo_logL_S15_t0,seqlogo_logL_S15_t1,TIS,MFE_fpUTR_normed,MFE_fpUTRandORF_normed
24,MIB2,NM_080875,-15.15727268420685,-15.885821740114295,-16.09873340608959,111.0,-0.4108888888888889,-0.523448275862069
25,PDCD2L,NM_032346,-15.163787365228044,-15.904771129883144,-16.132581354837562,113.0,-0.23606060606060605,-0.4869172932330828
26,MPC2,NM_001143674,-15.18440665243078,-15.905348003486102,-16.180362490909445,79.0,-0.3977127659574468,-0.4309375
27,DGKD,NM_152879,-15.190795376245491,-15.91137767168585,-16.180836479500197,107.0,-0.034166666666666665,-0.5524107142857143
28,TRIM27,NM_006510,-15.225480934233385,-15.952588305409654,-16.186535350016523,91.0,-0.5215598885793872,-0.5147494553376907
29,TPM1,NM_001330351,-15.225480934233385,-15.9643840626174,-16.20412747358856,97.0,-0.5612062256809338,-0.5852100840336134
30,CNTLN,NM_017738,-15.245683641550903,-15.966646094301765,-16.229835257239348,105.0,-0.41213333333333335,-0.4738857142857143
31,FAM105A,NM_019018,-15.255664530548588,-15.990713559683867,-16.242165869696823,103.0,-0.513362831858407,-0.5318779342723005
32,RPS19BP1,NM_194326,-15.257934679083126,-15.990713559683867,-16.257413761735545,71.0,-0.4326495726495726,-0.5086175115207373
33,SEC24B,NM_001300813,-15.269769136730124,-15.991290433286824,-16.261900395663883,85.0,-0.2974838709677419,-0.4005098039215686
34,RRP1B,NM_015056,-15.274271098402815,-15.998190885926599,-16.264035423355175,97.0,-0.5564035087719298,-0.5472897196261682
35,ECH1,NM_001398,-15.281570400884428,-16.002489326686813,-16.264703589905547,111.0,-0.38176470588235295,-0.3923783783783784
36,EHMT1,NM_024757,-15.299588906387106,-16.012153890921738,-16.309664452079424,102.0,-0.4970270270270271,-0.4191970802919708
37,RNF126,NM_194460,-15.309741277851124,-16.013418397219006,-16.34827065699732,113.0,-0.5566071428571429,-0.5507075471698113
38,COLGALT1,NM_024656,-15.316877214716573,-16.0676634120714,-16.37181040743041,97.0,-0.43275,-0.5760000000000001
39,NDUFB10,NM_004548,-15.330841449891212,-16.070433185897368,-16.387369035503074,64.0,-0.5169724770642202,-0.419377990430622
40,ICMT,NM_012405,-15.330841449891212,-16.081362256429564,-16.399791878582583,91.0,-0.492054794520548,-0.6002890173410405
41,PLCB3,NM_000932,-15.347791008204984,-16.08197758601033,-16.402671410647542,102.0,-0.6324409448818897,-0.5826431718061673
42,CDC42BPB,NM_006035,-15.381313700243629,-16.10094938970487,-16.408484414116444,72.0,-0.5734913793103449,-0.5460542168674699
43,AGPS,NM_003659,-15.389783985524659,-16.103483791231287,-16.420793465294434,105.0,-0.3151063829787234,-0.5642176870748299
44,RPS6KB2,NM_003952,-15.391466071707644,-16.105462660877304,-16.42638281155396,91.0,-0.44792682926829264,-0.4555494505494505
45,RPL28,NM_001136134,-15.399834321378162,-16.109438405029778,-16.434666733526996,71.0,-0.2383333333333333,-0.2898591549295774
46,ZYX,NM_003461,-15.416783879691934,-16.130356481409823,-16.437694182782778,112.0,-0.4493037974683544,-0.4303488372093024
47,COG3,NM_031431,-15.463891957678385,-16.133403134554605,-16.445800897411065,111.0,-0.44316901408450704,-0.5404132231404959
48,DCPS,NM_001350236,-15.470109199026759,-16.141593590643,-16.451230746853806,107.0,-0.4940729483282675,-0.4845221445221445
49,TMEM223,NM_001080501,-15.475726415325385,-16.151436178639045,-16.45629729289767,116.0,-0.1875,-0.4790833333333334
50,FBXL6,NM_012162,-15.475726415325385,-16.15814650398407,-16.474229246441386,124.0,-0.4119736842105263,-0.5057386363636364
51,HSPA4,NM_002154,-15.476795362514288,-16.17117847593008,-16.475672595260633,70.0,-0.4471174377224199,-0.4571128608923885
52,ZC3HAV1,NM_020119,-15.48677625151197,-16.184892229556766,-16.484584655043644,98.0,-0.3888917525773196,-0.42393442622950817
53,TMEM165,NM_018475,-15.48677625151197,-16.188575725588507,-16.486516785506474,115.0,-0.5492779783393502,-0.5915119363395226
54,ALKBH5,NM_017758,-15.51209405949626,-16.192473667180177,-16.48690058508383,102.0,-0.5420984081041967,-0.5394184576485461
55,SNX18,NM_001145427,-15.521985244650581,-16.196556613919515,-16.4995551932114,102.0,-0.5653092783505155,-0.5181292517006804
56,RAB2A,NM_002865,-15.538480814669454,-16.212060800455482,-16.504502881876256,113.0,-0.5564093959731544,-0.4760552763819095
57,PIK3R2,NM_005027,-15.550315272316455,-16.214913869437886,-16.520191038624525,113.0,-0.4931111111111111,-0.49575
58,SAMD1,NM_138352,-15.57151747996706,-16.22413338168975,-16.534546647187213,113.0,-0.5419354838709678,-0.651843137254902
59,DVL1,NM_001330311,-15.573787628501599,-16.243596560445113,-16.54063433320464,98.0,-0.4806382978723404,-0.3993197278911565
60,TSN,NM_004622,-15.582155878172117,-16.27010438102644,-16.552477007291785,70.0,-0.5168936170212766,-0.4570149253731343
61,PEX10,NM_153818,-15.58912454748821,-16.272172828548428,-16.55635035915519,113.0,-0.5002898550724638,-0.5514201183431953
62,PGLS,NM_012088,-15.594578398170675,-16.277371224371635,-16.559861167060973,107.0,-0.4176,-0.4932
63,RNF40,NM_014771,-15.607473686156403,-16.282438713715095,-16.56025984383825,83.0,-0.4497073170731707,-0.4545978260869565
64,ZNF598,NM_178167,-15.609743834690946,-16.290867293390754,-16.561487165537017,106.0,-0.5190540540540539,-0.5664367816091954
65,CDC34,NM_004359,-15.620377090992315,-16.296802028910573,-16.56347705962303,91.0,-0.6074874371859297,-0.5819732441471571
66,PGP,NM_001042371,-15.629877095152645,-16.298003230256207,-16.575356652913655,111.0,-0.6059090909090911,-0.6250694444444445
67,NMT2,NM_004808,-15.630946042341547,-16.29829547837694,-16.57580325523448,94.0,-0.5155952380952381,-0.4116847826086957
68,NF2,NM_181832,-15.630946042341547,-16.29990183735661,-16.57685556800946,98.0,-0.5562302483069977,-0.5276979742173112
69,DERA,NM_015954,-15.630946042341547,-16.32776266990804,-16.581731720517055,76.0,-0.4986792452830189,-0.4414423076923076
70,AGRN,NM_198576,-15.630946042341547,-16.328416260628593,-16.584259362008016,97.0,-0.3818,-0.5308666666666666
71,CDKN1C,NM_000076,-15.636061143008318,-16.330438945308828,-16.5919701377352,74.0,-0.427536231884058,-0.4313297872340426
72,FAF1,NM_007051,-15.636872661011187,-16.33821208578238,-16.622756372067876,91.0,-0.5570860927152318,-0.5222784810126582
73,RTN3,NM_001265589,-15.670951376955246,-16.353742254075765,-16.623578427171648,105.0,-0.30240641711229943,-0.3667247386759582
74,ALKBH4,NM_017621,-15.691570664157982,-16.366562419047526,-16.629327120277413,97.0,-0.40868421052631576,-0.495
75,CENPU,NM_024629,-15.711442738309984,-16.370910001064292,-16.638293489483267,92.0,-0.43957142857142856,-0.4151764705882353
76,POLR2D,NM_004805,-15.716888472142275,-16.374625383552548,-16.643020659274487,111.0,-0.5385454545454545,-0.3975483870967742
77,PPP1CA,NM_001008709,-15.727938308328858,-16.378086047551086,-16.64499848581018,71.0,-0.4924390243902439,-0.4916591928251121
78,KAT2B,NM_003884,-15.729722430122358,-16.38495978418724,-16.658838935696075,77.0,-0.5928251121076232,-0.6204029304029304
79,CDK10,NM_052988,-15.738090679792874,-16.38641418760026,-16.669545488417064,113.0,-0.4395348837209302,-0.3937062937062937
80,GFER,NM_005262,-15.760563535644936,-16.398259833995855,-16.671375024359687,98.0,-0.4537142857142858,-0.4988823529411765
81,CTSZ,NM_001336,-15.760807706077108,-16.40336374591403,-16.67758358756018,102.0,-0.5104761904761904,-0.5592035398230089
82,UBQLN2,NM_013444,-15.782826573634267,-16.40621681489644,-16.682189675475293,91.0,-0.4377935943060498,-0.46
83,PINK1,NM_032409,-15.798784748465133,-16.419700165233724,-16.683161690121118,94.0,-0.5357446808510639,-0.6529896907216495
84,SMDT1,NM_033318,-15.79977613194804,-16.427608004877754,-16.68881972705691,115.0,-0.3841025641025641,-0.4726404494382022
85,DBNL,NM_001122956,-15.79977613194804,-16.435615620539625,-16.691739493662084,102.0,-0.4962244897959184,-0.4664646464646465
86,POLD3,NM_006591,-15.814949685318489,-16.43989015386941,-16.70525568633614,103.0,-0.4092248062015504,-0.3404803493449782
87,NEK9,NM_001329237,-15.833470306453025,-16.451540771089384,-16.709734112326586,71.0,-0.4952830188679245,-0.4737451737451738
88,PYGB,NM_002862,-15.841438476102198,-16.452925812862045,-16.72343475198257,97.0,-0.37568807339449545,-0.4379904306220096
89,DENND3,NM_001352890,-15.843451195450704,-16.462941546040756,-16.724913468008165,105.0,-0.511875,-0.5487244897959184
90,SLC35E1,NM_024881,-15.845721343985241,-16.481913349735297,-16.730901744420947,120.0,-0.2672222222222222,-0.5967796610169491
91,MARK2,NM_001039469,-15.849635243306375,-16.48336115656124,-16.732423143755952,70.0,-0.5672020725388601,-0.5358468335787923
92,BRWD1,NM_033656,-15.850419864766796,-16.492362765609638,-16.758643478384858,112.0,-0.518813559322034,-0.5158734177215191
93,HNRNPL,NM_001533,-15.871520036806881,-16.492362765609638,-16.75910521096499,71.0,-0.008181818181818179,-0.48198198198198205
94,SUMO2,NM_006937,-15.880406901973133,-16.49501231367957,-16.764977419368012,107.0,-0.4859171597633136,-0.440185873605948
95,NFKBIB,NM_002503,-15.885105422754686,-16.50890693278679,-16.771406775427682,102.0,-0.5180582524271845,-0.5076847290640394
96,RNF187,NM_001010858,-15.908059163444095,-16.510964191560184,-16.772271026382494,,-0.3767213114754098,-0.4676126126126126
97,IRF2BPL,NM_024496,-15.914714215472193,-16.520884581341125,-16.776621971352462,92.0,-0.5230429988974642,-0.5130784508440913
98,FEZ2,NM_001042548,-15.917559167604425,-16.536848432330142,-16.780760660316176,111.0,-0.5021276595744681,-0.5232653061224489
99,NPLOC4,NM_017921,-15.928780486257349,-16.539963701541836,-16.787327635375163,91.0,-0.5694618834080717,-0.4825077399380805
100,FRAT2,NM_012083,-15.933307524572562,-16.540436815143106,-16.794941672808143,67.0,-0.4914728682170543,-0.475764192139738
101,ATMIN,NM_015251,-15.936977253461526,-16.547859568077467,-16.800752354370193,103.0,-0.3566666666666667,-0.735
102,TMEM186,NM_015421,-15.945730044571118,-16.549304939855276,-16.80917744663698,102.0,-0.26794117647058824,-0.4151492537313433
103,MSRB2,NM_012228,-15.958633449407026,-16.56135563709659,-16.810632633686506,115.0,-0.1992792792792793,-0.4854976303317535
104,FOXO1,NM_002015,-15.99167525660832,-16.5628010088744,-16.811648677071368,95.0,-0.4641558441558441,-0.4763505154639176
105,DUSP3,NM_004090,-15.995817753484461,-16.570396610192898,-16.811736064151148,71.0,-0.3257894736842106,-0.4056818181818182
106,IGF2R,NM_000876,-16.00824027348302,-16.574635466521404,-16.813621198245972,89.0,-0.4607432432432432,-0.5162903225806451
107,GUK1,NM_000858,-16.013350232246097,-16.577728321807403,-16.822735322626322,81.0,-0.4489438943894389,-0.4922084367245658
108,BCL7A,NM_020993,-16.013836258987137,-16.600820520682046,-16.825930335288582,71.0,-0.39902912621359227,-0.3858169934640523
109,NOP14,NM_001291978,-16.013938294597654,-16.63109798610919,-16.82734627933819,98.0,-0.4884491978609626,-0.4868292682926829
110,TSR1,NM_018128,-16.02745483842764,-16.63239673572173,-16.828012019646522,104.0,-0.460135841170324,-0.4650804162724692
111,TRIM65,NM_173547,-16.03274142156075,-16.637923645056787,-16.83172355987891,102.0,-0.4953030303030303,-0.4720481927710843
112,PIGT,NM_015937,-16.035823088098162,-16.638233922974642,-16.832228012496085,114.0,-0.361,-0.4311578947368421
113,CHSY1,NM_014918,-16.044575879207752,-16.6469127798848,-16.842023026718614,126.0,-0.6324159663865546,-0.650625
114,PIGX,NM_001166304,-16.048245608096714,-16.656317323149874,-16.844024092784785,,-0.5659748427672956,-0.6266409266409266
115,ZNF839,NM_018335,-16.054760289117908,-16.65798447849994,-16.85238512323777,91.0,-0.14800000000000002,-0.5383478260869565
116,WDR59,NM_030581,-16.063513080227505,-16.658592073516072,-16.853794085082587,113.0,-0.5004901960784314,-0.4544554455445544
117,IQGAP1,NM_003870,-16.075379576320643,-16.660624098463348,-16.853876569876444,78.0,-0.3640594059405941,-0.3908955223880597
118,SLC35A1,NM_006416,-16.08461325226759,-16.675218101594908,-16.857619666846972,93.0,-0.5382278481012659,-0.4002234636871509
119,PTPMT1,NM_175732,-16.094594141265272,-16.68004218432045,-16.860014959865744,111.0,-0.48860103626943,-0.5295904436860068
120,UBALD1,NM_145253,-16.112784129234285,-16.681247769794663,-16.86549951717494,70.0,-0.3748837209302325,-0.4045414847161572
121,EXOSC4,NM_019037,-16.112784129234285,-16.684857168678473,-16.86959962783683,107.0,-0.4407272727272727,-0.4752380952380952
122,DHX16,NM_003587,-16.122936500698305,-16.68594190644764,-16.871841703610887,96.0,-0.4504716981132075,-0.4841987179487179
123,ZBTB4,NM_020899,-16.123422527439338,-16.686518780050598,-16.8782093917665,72.0,-0.3259509202453988,-0.3335211267605634
124,SNX5,NM_014426,-16.125206649232844,-16.686518780050598,-16.880798772003452,96.0,-0.5693224932249323,-0.5274840085287846
125,ARL6IP4,NM_001278380,-16.130802634736966,-16.689371849033,-16.880842882881044,91.0,-0.5243623361144221,-0.5110543130990415
126,MZT2B,NM_001330282,-16.138101937218572,-16.69043267937173,-16.89419621309575,131.0,-0.4855401662049861,-0.5266160520607376
127,CD63,NM_001257389,-16.139501517573,-16.691817721144396,-16.894875803749983,105.0,-0.4032009925558313,-0.4190457256461233
128,KLF9,NM_001206,-16.14404181464208,-16.693225418348995,-16.901703339170087,81.0,-0.4287944358578053,-0.4349282639885222
129,RNPEP,NM_020216,-16.14461661823977,-16.693249325779426,-16.904765325877662,113.0,-0.4979310344827586,-0.4831007751937985
130,KDM3B,NM_016604,-16.146886766774312,-16.694670790126807,-16.909927111822558,112.0,-0.54545,-0.5660333333333334
131,ARID1A,NM_006015,-16.150524457217134,-16.6984354516957,-16.91444445468266,118.0,-0.5766576819407008,-0.5642887473460722
132,TARSL2,NM_152334,-16.151752555105222,-16.699657174900512,-16.915445470753017,94.0,-0.4649090909090909,-0.5521935483870968
133,SEPT8,NM_015146,-16.151752555105222,-16.70429916196601,-16.916104182055335,107.0,-0.5970168067226891,-0.5477514792899408
134,SLC43A2,NM_001284498,-16.1614722577932,-16.708824537564894,-16.917098536776432,103.0,-0.4931671554252199,-0.5103174603174604
135,RNF7,NM_014245,-16.161574293403714,-16.72080525801765,-16.919699152973195,91.0,-0.5418796992481203,-0.5199141630901287
136,RAB22A,NM_020673,-16.16448869239177,-16.733227778016204,-16.932483890376826,102.0,-0.5923664122137404,-0.5186740331491713
137,BCL7C,NM_001286526,-16.17162462925722,-16.73530894422003,-16.932729010060243,107.0,-0.6312849162011173,-0.5864410480349345
138,DIP2A,NM_001353942,-16.186892101388008,-16.73530894422003,-16.93409591592752,116.0,-0.4793989071038252,-0.5143816254416961
139,KCNK5,NM_003740,-16.18829168174243,-16.738047064452154,-16.948870161215222,80.0,-0.4848901098901099,-0.4751939655172414
140,IRAK1,NM_001569,-16.18829168174243,-16.73854937454194,-16.949476329232912,105.0,-0.5479746835443038,-0.599608938547486
141,PEX6,NM_000287,-16.192415398926293,-16.739497028206095,-16.951052849185295,95.0,-0.2762365591397849,-0.43233160621761657
142,ZPR1,NM_003904,-16.205241240056207,-16.74024725130518,-16.95300688021322,111.0,-0.20979166666666668,-0.5077702702702703
143,DCBLD2,NM_080927,-16.206310187245112,-16.741596027686718,-16.95400696759705,94.0,-0.5940220385674931,-0.6148596112311016
144,GCN1,NM_006836,-16.220414793426652,-16.743861034317572,-16.970492138613366,120.0,-0.07384615384615384,-0.2498230088495575
145,PARP12,NM_022750,-16.223431228025223,-16.746053934540587,-16.98003494621301,113.0,-0.4495080091533181,-0.4621457905544148
146,MFSD2B,NM_001346880,-16.22603200972528,-16.758545586000494,-16.9831407504443,112.0,-0.22000000000000006,-0.4379090909090909
147,NBAS,NM_015909,-16.227714095908265,-16.760626752204313,-16.986301649701062,119.0,-0.1968181818181818,-0.41347222222222224
148,THUMPD1,NM_017736,-16.231383824797227,-16.76654126734033,-16.994427112708987,107.0,-0.3735555555555555,-0.41147692307692296
149,NT5C,NM_014595,-16.2316279952294,-16.769658727138715,-17.006490692579256,111.0,-0.4347727272727273,-0.495904255319149
150,SH3GL1,NM_003025,-16.232249251073654,-16.772448491169484,-17.00668944013437,80.0,-0.5417000000000001,-0.4951
151,GGA2,NM_015044,-16.237081845911867,-16.778794495459234,-17.00784196842644,100.0,-0.4404819277108434,-0.513551912568306
152,EDF1,NM_001281297,-16.237081845911867,-16.779885856573838,-17.018851718937906,97.0,-0.4516666666666666,-0.4121348314606741
153,PAXIP1,NM_007349,-16.245732601410946,-16.780429379500493,-17.019302530352427,94.0,-0.4925581395348837,-0.3907692307692308
154,BAZ1B,NM_032408,-16.256953920063864,-16.78205664262489,-17.020644182609807,94.0,-0.5642329545454546,-0.5255530973451328
155,FANCG,NM_004629,-16.265150687268044,-16.78839854915017,-17.02502794339512,74.0,-0.5061178861788618,-0.4958783783783784
156,METAP1,NM_015143,-16.266934809061542,-16.788797629171015,-17.033489545702473,107.0,-0.3158974358974359,-0.39811059907834095
157,CALM3,NM_005184,-16.266934809061542,-16.791811685355288,-17.037318536146113,107.0,-0.5803508771929825,-0.5116363636363636
158,SAE1,NM_005500,-16.27530305873206,-16.79250605849923,-17.042530244254678,67.0,-0.4764814814814815,-0.4202403846153846
159,TXNDC5,NM_030810,-16.28772557873062,-16.802585585589725,-17.043617034074828,62.0,-0.425,-0.5631884057971014
160,VPS41,NM_014396,-16.2977064677283,-16.805747187484787,-17.04487710111343,91.0,-0.2357692307692308,-0.24777777777777776
161,SLC25A1,NM_005984,-16.306074717398815,-16.809659677623838,-17.053863527020575,65.0,-0.5800526315789474,-0.5483103448275862
162,C5orf51,NM_175921,-16.323024275712587,-16.8139463897371,-17.055019917792215,111.0,-0.3958333333333333,-0.3775806451612903
163,RNF138,NM_016271,-16.324093222901492,-16.814715857467547,-17.05773836535247,97.0,-0.4404585152838428,-0.4277598566308244
164,PRKAR1B,NM_001164761,-16.324093222901492,-16.815643900014294,-17.066104399737295,107.0,-0.4130857142857143,-0.4350909090909091
165,INTS4,NM_033547,-16.32528928234344,-16.819676819984632,-17.066233929225724,113.0,-0.16999999999999998,-0.26421875
166,FAM83F,NM_138435,-16.325877344694995,-16.82516527334189,-17.06921597767564,91.0,-0.7105319148936171,-0.5680927835051546
167,SF3B4,NM_005850,-16.326694004601553,-16.82516527334189,-17.076374712625128,104.0,-0.3851724137931034,-0.3978752107925801
168,KPNA4,NM_002268,-16.328620261216713,-16.825349113768922,-17.07726989193267,112.0,-0.5353921568627451,-0.4735960591133005
169,PIP4K2A,NM_005028,-16.338772632680723,-16.838588293674032,-17.081886311599117,113.0,-0.5739516129032258,-0.5230172413793103
170,MTMR14,NM_001077525,-16.34104278121527,-16.84717203736542,-17.086010735380658,99.0,-0.3843708609271523,-0.5066932270916334
171,SERF2,NM_001199877,-16.34211172840417,-16.849625092815852,-17.093119770059765,90.0,-0.39998928188638794,-0.4085285575992256
172,CSNK2A2,NM_001896,-16.342442361569688,-16.85048308132618,-17.09713361123815,65.0,-0.41505434782608697,-0.4678521126760564
173,MDM1,NM_001205029,-16.346080052012514,-16.854924712993725,-17.09840409067778,70.0,-0.40763313609467455,-0.428364312267658
174,SLC25A11,NM_003562,-16.351195152679285,-16.85821412738859,-17.0987941343113,109.0,-0.4981322957198444,-0.5107563025210085
175,ITFG1,NM_030790,-16.354276819216693,-16.87753710002692,-17.103164220469232,105.0,-0.5053711790393013,-0.5306079027355622
176,VPS18,NM_020857,-16.36046086707237,-16.881951118851163,-17.104298948115822,92.0,-0.4527138643067847,-0.4574715261958998
177,UBALD2,NM_182565,-16.37229532471937,-16.881978731694467,-17.104886447627756,76.0,-0.5615282392026578,-0.5430922693266833
178,TTLL12,NM_015140,-16.383264356089946,-16.883688850675824,-17.10875203020302,65.0,-0.5659677419354839,-0.5885802469135802
179,OXSR1,NM_005109,-16.38471784471793,-16.886082143279058,-17.110585700004886,85.0,-0.5624269005847953,-0.5345927601809954
180,GAN,NM_022041,-16.38471784471793,-16.889154778181258,-17.118045747293177,94.0,-0.5375,-0.5704838709677419
181,VTI1A,NM_001318203,-16.390644463387567,-16.89008124493441,-17.118589648425324,71.0,-0.4035492227979275,-0.3841358024691358
182,ATE1,NM_001288736,-16.395931046520676,-16.89090743087323,-17.14061121249801,113.0,-0.4202432432432433,-0.4335531914893617
183,P2RX4,NM_001256796,-16.39761313270366,-16.893294724266692,-17.147301468176643,113.0,-0.5049013157894737,-0.5057920792079208
184,DYNC1H1,NM_001376,-16.407190700569988,-16.897827873717805,-17.14763867661759,79.0,-0.4407317073170732,-0.5037878787878788
185,NUP210,NM_024923,-16.410035652702224,-16.90764008598404,-17.147645691904906,137.0,-0.5227956989247311,-0.5476683937823834
186,FLII,NM_002018,-16.413117319239625,-16.911097419508913,-17.147645691904906,65.0,-0.5339380530973451,-0.5014110429447853
187,MAD2L1,NM_002358,-16.415803120672678,-16.913610833360732,-17.151535066762968,116.0,-0.34846774193548385,-0.4395535714285714
188,MTCH2,NM_014342,-16.417171589567662,-16.913723648538255,-17.15263127995901,117.0,-0.5774603174603175,-0.529515570934256
189,C1orf43,NM_001098616,-16.428384791370412,-16.918056123493276,-17.15894810739267,116.0,-0.4463846153846154,-0.4411224489795919
190,KLHL42,NM_020782,-16.437650505763497,-16.92194373478302,-17.15987288235923,85.0,-0.535974025974026,-0.4786440677966102
191,WASHC4,NM_001293640,-16.438206529668914,-16.923145681702092,-17.15990682068117,106.0,-0.3801149425287356,-0.37604278074866304
192,UBE2R2,NM_017811,-16.43927547685782,-16.92323440891035,-17.163303984062654,94.0,-0.5566376306620209,-0.5449406528189912
193,INPPL1,NM_001567,-16.44472121069011,-16.924456159961586,-17.163833609328705,102.0,-0.5861904761904762,-0.628582995951417
194,KIAA1522,NM_020888,-16.447802877227517,-16.92721474503896,-17.168092296678367,109.0,-0.37454545454545457,-0.5279166666666666
195,STOM,NM_004099,-16.4492563658555,-16.931513185799172,-17.17243450655456,107.0,-0.4223076923076923,-0.4514746543778802
196,SEC23IP,NM_007190,-16.457624615526015,-16.935195633369972,-17.176821441403742,105.0,-0.4123809523809524,-0.42867741935483866
197,RACK1,NM_006098,-16.457624615526015,-16.93646421156616,-17.179095746143645,88.0,-0.4136792452830189,-0.3630582524271845
198,STK11IP,NM_052902,-16.462739716192786,-16.94086714279445,-17.179199335947242,98.0,-0.3883838383838384,-0.4344723618090452
199,DOCK7,NM_001330614,-16.467776986990035,-16.945985218407706,-17.182009685404683,105.0,-0.47375,-0.3894607843137255
200,LAIR1,NM_002287,-16.47279005204629,-16.946920898963466,-17.185384376793113,73.0,-0.3755161290322581,-0.38314634146341453
201,USP25,NM_001283041,-16.472892087656806,-16.950943990338107,-17.18595698260942,91.0,-0.6298478260869566,-0.5623035714285715
202,HMG20B,NM_006339,-16.474574173839788,-16.951066277100722,-17.189014969604262,83.0,-0.3382352941176471,-0.5001785714285715
203,ADSS,NM_001126,-16.47597375419421,-16.951645072180646,-17.19156562370949,103.0,-0.594763406940063,-0.5842925659472422
204,ETHE1,NM_014297,-16.480028024522248,-16.953324676185634,-17.191676636921663,97.0,-0.4883544303797468,-0.4820111731843576
205,ABHD5,NM_016006,-16.485543205210362,-16.9644273406754,-17.2004595055678,119.0,-0.5607317073170731,-0.472286995515695
206,BCR,NM_004327,-16.490078360375755,-16.96583260283186,-17.200482951006293,68.0,-0.6764932885906041,-0.6474137931034483
207,AKIRIN2,NM_018064,-16.491139190714485,-16.970002327699014,-17.20523706818047,112.0,-0.4540480274442538,-0.4528257686676427
208,BRK1,NM_018462,-16.5012915621785,-16.973780552097235,-17.207622956179904,113.0,-0.4247169811320755,-0.3137254901960784
209,PTTG1IP,NM_004339,-16.505243796896025,-16.97787058139134,-17.20898360823699,118.0,-0.4785017421602788,-0.5295607235142119
210,C19orf53,NM_014047,-16.515065535194527,-16.978568369431656,-17.209169722102587,106.0,-0.17714285714285716,-0.3674074074074074
211,DNAJA4,NM_018602,-16.51646511554895,-16.988456105618248,-17.21202265439829,97.0,-0.452603550295858,-0.45
212,FUT11,NM_001284194,-16.517180290153547,-16.989900068213966,-17.21291877473171,117.0,-0.4544186046511628,-0.4883216783216783
213,TWF2,NM_007284,-16.52384522284657,-16.997437494282842,-17.220733957245415,111.0,-0.4818543046357616,-0.4457370517928287
