Gene,AccNum,seqlogo_logL_L24_t1,seqlogo_logL_S15_t0,seqlogo_logL_S15_t1,seqlogo_logL_S15_t2,TIS,MFE_fpUTR_normed,MFE_fpUTRandORF_normed,ER_L24_t1_logFC,ER_L24_t1_change,ER_S15_t0_logFC,ER_S15_t0_change,ER_S15_t1_logFC,ER_S15_t1_change,ER_S15_t2_logFC,ER_S15_t2_change,fpUTR_gc_percent
DGKD,NM_152879,-15.190795376245491,-15.91137767168585,-16.180836479500197,-14.964908768772386,107.0,-0.034166666666666665,-0.5524107142857143,-0.146531308647719,No,0.22275934250986199,No,0.170243,No,-0.15243320000000002,No,0.8333333333333334
TRIM27,NM_006510,-15.225480934233385,-15.952588305409654,-16.186535350016523,-14.964908768772386,91.0,-0.5215598885793872,-0.5147494553376907,0.0441388199621345,No,-0.149837181223609,No,-0.2110806,No,-0.2731612,No,0.7381615598885793
TPM1,NM_001330351,-15.225480934233385,-15.9643840626174,-16.20412747358856,-15.058434826783207,97.0,-0.5612062256809338,-0.5852100840336134,0.10709852987531901,No,-0.008085494865276991,No,0.192661,No,0.133135,No,0.7859922178988327
CNTLN,NM_017738,-15.245683641550903,-15.966646094301765,-16.229835257239348,-15.080907682635267,105.0,-0.41213333333333335,-0.4738857142857143,-0.358079035861831,No,-0.266307484360481,No,-0.60892,No,-0.122802,No,0.64
FAM105A,NM_019018,-15.255664530548588,-15.990713559683867,-16.242165869696823,-15.087184240069194,103.0,-0.513362831858407,-0.5318779342723005,0.0488248074445168,No,-0.10153863216369599,No,-0.4591133,No,-0.32014380000000003,No,0.8053097345132744
RPS19BP1,NM_194326,-15.257934679083126,-15.990713559683867,-16.257413761735545,-15.138477534456744,71.0,-0.4326495726495726,-0.5086175115207373,0.414441777695688,No,0.828684425062785,No,0.8838197,No,0.3022219,No,0.6923076923076923
SEC24B,NM_001300813,-15.269769136730124,-15.991290433286824,-16.261900395663883,-15.20915249212668,85.0,-0.2974838709677419,-0.4005098039215686,-0.46858168580285103,No,-0.252671411101528,No,-0.408755692556157,No,-0.19304034882970497,No,0.7096774193548387
RRP1B,NM_015056,-15.274271098402815,-15.998190885926599,-16.264035423355175,-15.218893425609169,97.0,-0.5564035087719298,-0.5472897196261682,-0.152850836292103,No,0.13013370724685902,No,0.0650710013039553,No,-0.1468491,No,0.7982456140350878
ECH1,NM_001398,-15.281570400884428,-16.002489326686813,-16.264703589905547,-15.235058362462526,111.0,-0.38176470588235295,-0.3923783783783784,0.0923658260779707,No,0.22519835763463697,No,0.1486401,No,-0.07365404,No,0.6823529411764706
EHMT1,NM_024757,-15.299588906387106,-16.012153890921738,-16.309664452079424,-15.251806219763743,102.0,-0.4970270270270271,-0.4191970802919708,0.0680930166597154,No,0.42755754564442,No,0.46118820000000005,No,0.1574617,No,0.918918918918919
RNF126,NM_194460,-15.309741277851124,-16.013418397219006,-16.34827065699732,-15.252757939561924,113.0,-0.5566071428571429,-0.5507075471698113,0.8573084292705959,No,0.230208245196575,No,0.44939229999999997,No,0.3460051,No,0.8392857142857143
COLGALT1,NM_024656,-15.316877214716573,-16.0676634120714,-16.37181040743041,-15.292628214284,97.0,-0.43275,-0.5760000000000001,0.455913626294257,No,0.010759002452825999,No,0.10566199999999999,No,-0.1693376,No,0.6833333333333333
NDUFB10,NM_004548,-15.330841449891212,-16.070433185897368,-16.387369035503074,-15.29341283574442,64.0,-0.5169724770642202,-0.419377990430622,0.3715794537005,No,-0.0801350539523317,No,-0.1069026,No,-0.08455706,No,0.7981651376146789
ICMT,NM_012405,-15.330841449891212,-16.081362256429564,-16.399791878582583,-15.31510107013606,91.0,-0.492054794520548,-0.6002890173410405,0.5667628356638621,No,-0.142286754505309,No,-0.1555221,No,-0.05294886,No,0.821917808219178
PLCB3,NM_000932,-15.347791008204984,-16.08197758601033,-16.402671410647542,-15.320799091250697,102.0,-0.6324409448818897,-0.5826431718061673,-0.041772888887155996,No,0.23576319473806798,No,0.1835307,No,-0.1278723,No,0.84251968503937
CDC42BPB,NM_006035,-15.381313700243629,-16.10094938970487,-16.408484414116444,-15.33280064723546,72.0,-0.5734913793103449,-0.5460542168674699,0.18346997008199104,No,-0.171736025454902,No,0.002143505,No,-0.02110516,No,0.8146551724137931
AGPS,NM_003659,-15.389783985524659,-16.103483791231287,-16.420793465294434,-15.33280064723546,105.0,-0.3151063829787234,-0.5642176870748299,-0.36643224655812606,No,-0.29792723850122305,No,-0.31454899999999997,No,-0.26991020000000004,No,0.723404255319149
RPS6KB2,NM_003952,-15.391466071707644,-16.105462660877304,-16.42638281155396,-15.343271947102757,91.0,-0.44792682926829264,-0.4555494505494505,0.22521668448522303,No,0.8115628409431371,No,0.6773486999999999,No,0.7632678,No,0.7317073170731707
RPL28,NM_001136134,-15.399834321378162,-16.109438405029778,-16.434666733526996,-15.346116899234989,71.0,-0.2383333333333333,-0.2898591549295774,0.35410453364957795,No,0.238618890390108,No,0.2455531,No,-0.16177439999999998,No,0.7142857142857143
ZYX,NM_003461,-15.416783879691934,-16.130356481409823,-16.437694182782778,-15.35202473821235,112.0,-0.4493037974683544,-0.4303488372093024,0.24752079634033397,No,0.17762176091374698,No,0.06353975,No,0.01470261,No,0.7911392405063291
COG3,NM_031431,-15.463891957678385,-16.133403134554605,-16.445800897411065,-15.358118455219753,111.0,-0.44316901408450704,-0.5404132231404959,-0.17214739489887398,No,-0.221221310869383,No,-0.09127331,No,-0.2465915,No,0.7112676056338029
DCPS,NM_001350236,-15.470109199026759,-16.141593590643,-16.451230746853806,-15.379639591273632,107.0,-0.4940729483282675,-0.4845221445221445,0.42208831062140395,No,0.245457114235113,No,0.6136911,No,0.4453951,No,0.7264437689969605
TMEM223,NM_001080501,-15.475726415325385,-16.151436178639045,-16.45629729289767,-15.387019698571253,116.0,-0.1875,-0.4790833333333334,0.9148069553283951,No,0.55239100280497,No,0.613382057612603,No,-0.008523425521765491,No,0.75
FBXL6,NM_012162,-15.475726415325385,-16.15814650398407,-16.474229246441386,-15.402616225473876,124.0,-0.4119736842105263,-0.5057386363636364,0.40335845337197995,No,0.6307636720162709,No,0.4680996,No,-0.42379459999999997,No,0.6973684210526315
HSPA4,NM_002154,-15.476795362514288,-16.17117847593008,-16.475672595260633,-15.406741521051426,70.0,-0.4471174377224199,-0.4571128608923885,-0.7041527093172351,No,-0.457947181325798,No,-0.5238349,No,-0.2548877,No,0.701067615658363
ZC3HAV1,NM_020119,-15.48677625151197,-16.184892229556766,-16.484584655043644,-15.406908619389187,98.0,-0.3888917525773196,-0.42393442622950817,-0.0609958213564411,No,-0.100492093123943,No,-0.16813973911984698,No,-0.191630005682281,No,0.6494845360824743
TMEM165,NM_018475,-15.48677625151197,-16.188575725588507,-16.486516785506474,-15.433706812543907,115.0,-0.5492779783393502,-0.5915119363395226,0.152569937371279,No,-0.323759626680117,No,-0.387997006811409,No,-0.0815614267166366,No,0.7617328519855595
ALKBH5,NM_017758,-15.51209405949626,-16.192473667180177,-16.48690058508383,-15.447563515571675,102.0,-0.5420984081041967,-0.5394184576485461,0.750202731319597,No,0.3903173252742279,No,0.6099211999999999,No,0.2540092,No,0.7366136034732272
SNX18,NM_001145427,-15.521985244650581,-16.196556613919515,-16.4995551932114,-15.461877689510604,102.0,-0.5653092783505155,-0.5181292517006804,0.14582974668722198,No,0.192322819366106,No,0.19542033874006196,No,0.163753275094513,No,0.7835051546391752
RAB2A,NM_002865,-15.538480814669454,-16.212060800455482,-16.504502881876256,-15.466332039859983,113.0,-0.5564093959731544,-0.4760552763819095,0.0674595659429556,No,-0.547563830822703,No,-0.6127216999999999,No,-0.2589863,No,0.7583892617449665
PIK3R2,NM_005027,-15.550315272316455,-16.214913869437886,-16.520191038624525,-15.522421506511025,113.0,-0.4931111111111111,-0.49575,0.355925450736423,No,-0.0800523968826053,No,0.685888713912565,No,0.368311632742414,No,0.687037037037037
SAMD1,NM_138352,-15.57151747996706,-16.22413338168975,-16.534546647187213,-15.529801613808651,113.0,-0.5419354838709678,-0.651843137254902,0.43705051144840595,No,0.515526015561611,No,0.6487546999999999,No,0.23175259999999998,No,0.8451612903225807
DVL1,NM_001330311,-15.573787628501599,-16.243596560445113,-16.54063433320464,-15.532892806378324,98.0,-0.4806382978723404,-0.3993197278911565,0.399176410994455,No,0.749808223983332,No,0.7035580624469,No,0.38192588911794395,No,0.9361702127659575
TSN,NM_004622,-15.582155878172117,-16.27010438102644,-16.552477007291785,-15.533471342697613,70.0,-0.5168936170212766,-0.4570149253731343,-0.11665362956189301,No,-0.331750606027787,No,-0.2540713,No,-0.1768501,No,0.7191489361702128
PEX10,NM_153818,-15.58912454748821,-16.272172828548428,-16.55635035915519,-15.538586443364382,113.0,-0.5002898550724638,-0.5514201183431953,0.151466236434113,No,0.8486263122670309,No,0.2196873,No,-0.1017684,No,0.7536231884057971
PGLS,NM_012088,-15.594578398170675,-16.277371224371635,-16.559861167060973,-15.543942642564907,107.0,-0.4176,-0.4932,0.537297355653167,No,0.49200547489615903,No,0.4438391,No,-0.02609865,No,0.78
RNF40,NM_014771,-15.607473686156403,-16.282438713715095,-16.56025984383825,-15.55132274986253,83.0,-0.4497073170731707,-0.4545978260869565,0.0894127196843118,No,0.0962351559452217,No,0.27038829999999997,No,-0.04872718,No,0.6573170731707317
ZNF598,NM_178167,-15.609743834690946,-16.290867293390754,-16.561487165537017,-15.55148984820029,106.0,-0.5190540540540539,-0.5664367816091954,0.45655820703419703,No,0.5083418222573001,No,0.6209753,No,0.297141,No,0.8378378378378378
CDC34,NM_004359,-15.620377090992315,-16.296802028910573,-16.56347705962303,-15.569260450549198,91.0,-0.6074874371859297,-0.5819732441471571,0.811018678606128,No,0.34867980842736795,No,0.8565511,No,0.4332455,No,0.8492462311557789
PGP,NM_001042371,-15.629877095152645,-16.298003230256207,-16.575356652913655,-15.57169255551781,111.0,-0.6059090909090911,-0.6250694444444445,0.5223497601063549,No,0.42949119860505997,No,0.37945359999999995,No,-0.03344864,No,0.9318181818181818
NMT2,NM_004808,-15.630946042341547,-16.29829547837694,-16.57580325523448,-15.604978533151277,94.0,-0.5155952380952381,-0.4116847826086957,-0.689424030733423,No,-0.0746313892658801,No,-0.44826930000000004,No,-0.09219145,No,0.7976190476190477
NF2,NM_181832,-15.630946042341547,-16.29990183735661,-16.57685556800946,-15.612935514051859,98.0,-0.5562302483069977,-0.5276979742173112,0.0541670874114771,No,-0.19352640438716,No,-0.3316078,No,-0.1787831,No,0.7584650112866818
DERA,NM_015954,-15.630946042341547,-16.32776266990804,-16.581731720517055,-15.63825332203615,76.0,-0.4986792452830189,-0.4414423076923076,-0.0258149933896185,No,-0.17410705702609802,No,-0.10198869999999999,No,-0.08685582,No,0.7358490566037735
AGRN,NM_198576,-15.630946042341547,-16.328416260628593,-16.584259362008016,-15.646221491685324,97.0,-0.3818,-0.5308666666666666,0.681470560991713,No,0.6510814888377819,No,0.4379142,No,-0.02925056,No,0.88
CDKN1C,NM_000076,-15.636061143008318,-16.330438945308828,-16.5919701377352,-15.652357928217693,74.0,-0.427536231884058,-0.4313297872340426,0.0936926541623357,No,1.0257003879404398,enrich,0.8323475166217191,No,-0.3313743,No,0.7210144927536232
FAF1,NM_007051,-15.636872661011187,-16.33821208578238,-16.622756372067876,-15.685021240824812,91.0,-0.5570860927152318,-0.5222784810126582,-0.324280852452018,No,-0.41313403586064207,No,-0.4539241932287829,No,-0.147165555564499,No,0.7726269315673289
RTN3,NM_001265589,-15.670951376955246,-16.353742254075765,-16.623578427171648,-15.685021240824812,105.0,-0.30240641711229943,-0.3667247386759582,0.183739089975129,No,0.259788298438976,No,0.2397913,No,0.32126370000000004,No,0.6256684491978609
ALKBH4,NM_017621,-15.691570664157982,-16.366562419047526,-16.629327120277413,-15.694423593503206,97.0,-0.40868421052631576,-0.495,1.04561515077094,enrich,0.621182266778277,No,0.8526101999999999,No,-0.289821,No,0.8421052631578947
CENPU,NM_024629,-15.711442738309984,-16.370910001064292,-16.638293489483267,-15.695002129822493,92.0,-0.43957142857142856,-0.4151764705882353,-0.511291878295252,No,-0.284224026485404,No,-0.42664620000000003,No,0.1655336,No,0.7
POLR2D,NM_004805,-15.716888472142275,-16.374625383552548,-16.643020659274487,-15.705640528027546,111.0,-0.5385454545454545,-0.3975483870967742,-0.159072811978977,No,0.32167279647509,No,0.4077876,No,0.8460858,No,0.8363636363636363
PPP1CA,NM_001008709,-15.727938308328858,-16.378086047551086,-16.64499848581018,-15.715792899491566,71.0,-0.4924390243902439,-0.4916591928251121,0.43620092047006304,No,0.0337234102511556,No,0.1566885,No,-0.07752448,No,0.8292682926829268
KAT2B,NM_003884,-15.729722430122358,-16.38495978418724,-16.658838935696075,-15.741110707475855,77.0,-0.5928251121076232,-0.6204029304029304,0.110888901888319,No,0.0855693392907742,No,0.1656884,No,0.163581,No,0.773542600896861
CDK10,NM_052988,-15.738090679792874,-16.38641418760026,-16.669545488417064,-15.767259339061784,113.0,-0.4395348837209302,-0.3937062937062937,0.164681932924896,No,0.22344260049128897,No,0.1803749,No,0.1479606,No,0.7906976744186046
GFER,NM_005262,-15.760563535644936,-16.398259833995855,-16.671375024359687,-15.769281584442554,98.0,-0.4537142857142858,-0.4988823529411765,0.7055821727271679,No,0.460232513521519,No,0.3791352,No,0.5677846,No,0.7142857142857143
CTSZ,NM_001336,-15.760807706077108,-16.40336374591403,-16.67758358756018,-15.774054863195213,102.0,-0.5104761904761904,-0.5592035398230089,0.38695391306924104,No,-0.0995421970278826,No,-0.141645935254135,No,-0.130641102224352,No,0.7936507936507936
UBQLN2,NM_013444,-15.782826573634267,-16.40621681489644,-16.682189675475293,-15.774054863195213,91.0,-0.4377935943060498,-0.46,-0.0948638734259002,No,-0.12442624548175302,No,-0.12389549999999999,No,-0.2552472,No,0.7224199288256228
PINK1,NM_032409,-15.798784748465133,-16.419700165233724,-16.683161690121118,-15.784288039475241,94.0,-0.5357446808510639,-0.6529896907216495,0.7085295923791299,No,0.108155297277839,No,0.40754140454603904,No,0.01646399,No,0.7978723404255319
SMDT1,NM_033318,-15.79977613194804,-16.427608004877754,-16.68881972705691,-15.7969391570288,115.0,-0.3841025641025641,-0.4726404494382022,-0.10104634366460999,No,0.0742961680905197,No,-0.2395156,No,-0.13176,No,0.7948717948717948
DBNL,NM_001122956,-15.79977613194804,-16.435615620539625,-16.691739493662084,-15.800372171512587,102.0,-0.4962244897959184,-0.4664646464646465,0.304302000202125,No,0.636104820934107,No,0.4889522,No,0.244825,No,0.7448979591836735
POLD3,NM_006591,-15.814949685318489,-16.43989015386941,-16.70525568633614,-15.802637178143435,103.0,-0.4092248062015504,-0.3404803493449782,-0.308256716226123,No,-0.0908418143298409,No,-0.0036600514167176705,No,-0.14752839999999998,No,0.6821705426356589
NEK9,NM_001329237,-15.833470306453025,-16.451540771089384,-16.709734112326586,-15.808081333582038,71.0,-0.4952830188679245,-0.4737451737451738,-0.31727892386514095,No,-0.12442672018169199,No,-0.159527,No,-0.1488259,No,0.7421383647798742
PYGB,NM_002862,-15.841438476102198,-16.452925812862045,-16.72343475198257,-15.822845027364645,97.0,-0.37568807339449545,-0.4379904306220096,0.145705926529907,No,0.0743331894984588,No,-0.01940761,No,-0.2989805,No,0.7247706422018348
DENND3,NM_001352890,-15.843451195450704,-16.462941546040756,-16.724913468008165,-15.822845027364645,105.0,-0.511875,-0.5487244897959184,-0.152592596074638,No,-0.0595754096287366,No,-0.3270325,No,-0.3290955,No,0.8333333333333334
SLC35E1,NM_024881,-15.845721343985241,-16.481913349735297,-16.730901744420947,-15.828122084465484,120.0,-0.2672222222222222,-0.5967796610169491,0.8187143644024859,No,0.275740769925275,No,0.48777381130659103,No,0.09107969,No,0.8888888888888888
MARK2,NM_001039469,-15.849635243306375,-16.48336115656124,-16.732423143755952,-15.82912158479857,70.0,-0.5672020725388601,-0.5358468335787923,-0.126446460200609,No,0.0848924760162207,No,0.21396281800328798,No,-0.0107234507557861,No,0.7357512953367875
BRWD1,NM_033656,-15.850419864766796,-16.492362765609638,-16.758643478384858,-15.833399141566328,112.0,-0.518813559322034,-0.5158734177215191,-0.591785196260229,No,-0.296553239249051,No,-0.462681791127652,No,-0.19472883887749698,No,0.7661016949152543
HNRNPL,NM_001533,-15.871520036806881,-16.492362765609638,-16.75910521096499,-15.843626271001453,71.0,-0.008181818181818179,-0.48198198198198205,-0.0848980992239608,No,0.363883513668077,No,0.38959868289083793,No,0.1650066,No,0.8181818181818182
SUMO2,NM_006937,-15.880406901973133,-16.49501231367957,-16.764977419368012,-15.86099679332902,107.0,-0.4859171597633136,-0.440185873605948,0.794209905754866,No,-0.210621645355725,No,0.3525340200449161,No,-0.2860522,No,0.6863905325443787
NFKBIB,NM_002503,-15.885105422754686,-16.50890693278679,-16.771406775427682,-15.869365042999535,102.0,-0.5180582524271845,-0.5076847290640394,0.268043260593467,No,0.785183366916193,No,1.098216,enrich,0.7884375,No,0.7475728155339806
RNF187,NM_001010858,-15.908059163444095,-16.510964191560184,-16.772271026382494,-15.876745150297156,,-0.3767213114754098,-0.4676126126126126,0.9557186107180341,No,0.375278540410548,No,0.8915501,No,0.4019375,No,0.7704918032786885
IRF2BPL,NM_024496,-15.914714215472193,-16.520884581341125,-16.776621971352462,-15.876912248634918,92.0,-0.5230429988974642,-0.5130784508440913,0.2114553068384,No,0.34171026506432006,No,0.44683682614775205,No,0.12632670000000001,No,0.7342888643880926
FEZ2,NM_001042548,-15.917559167604425,-16.536848432330142,-16.780760660316176,-15.892249336833125,111.0,-0.5021276595744681,-0.5232653061224489,-0.202798674851279,No,0.12442165126011301,No,-0.09034838,No,-0.3005928,No,0.8936170212765957
NPLOC4,NM_017921,-15.928780486257349,-16.539963701541836,-16.787327635375163,-15.90573268717041,91.0,-0.5694618834080717,-0.4825077399380805,-0.15837569622762301,No,-0.128102289825165,No,-0.0899382417672849,No,-0.09838197,No,0.8116591928251121
FRAT2,NM_012083,-15.933307524572562,-16.540436815143106,-16.794941672808143,-15.910187037519789,67.0,-0.4914728682170543,-0.475764192139738,1.14792039913229,enrich,1.9942842235182199,enrich,1.7256814888656598,enrich,1.1729193745731599,enrich,0.7906976744186046
ATMIN,NM_015251,-15.936977253461526,-16.547859568077467,-16.800752354370193,-15.910187037519789,103.0,-0.3566666666666667,-0.735,0.257449046253325,No,0.245724710695654,No,0.24447860000000002,No,0.3759619,No,0.8888888888888888
TMEM186,NM_015421,-15.945730044571118,-16.549304939855276,-16.80917744663698,-15.917567144817411,102.0,-0.26794117647058824,-0.4151492537313433,0.274746855105558,No,-0.152989501703481,No,-0.11897619999999999,No,-0.22326020000000002,No,0.6470588235294118
MSRB2,NM_012228,-15.958633449407026,-16.56135563709659,-16.810632633686506,-15.918636092006318,115.0,-0.1992792792792793,-0.4854976303317535,0.36840672081236603,No,0.0908547373642509,No,0.42595249999999996,No,-0.03381701,No,0.7477477477477478
FOXO1,NM_002015,-15.99167525660832,-16.5628010088744,-16.811648677071368,-15.923432264269811,95.0,-0.4641558441558441,-0.4763505154639176,0.0843103675418561,No,0.0471873222299666,No,-0.03860818,No,-0.23414610000000002,No,0.7402597402597403
DUSP3,NM_004090,-15.995817753484461,-16.570396610192898,-16.811736064151148,-15.925864369238427,71.0,-0.3257894736842106,-0.4056818181818182,0.9563173396632929,No,0.39666408193168395,No,0.548013231659997,No,0.39876348746101,No,0.8157894736842105
IGF2R,NM_000876,-16.00824027348302,-16.574635466521404,-16.813621198245972,-15.930470549653323,89.0,-0.4607432432432432,-0.5162903225806451,0.32964221499719204,No,-0.144334869807736,No,-0.10494629999999999,No,-0.1175786,No,0.8108108108108109
GUK1,NM_000858,-16.013350232246097,-16.577728321807403,-16.822735322626322,-15.944532436309895,81.0,-0.4489438943894389,-0.4922084367245658,0.552843609694706,No,0.312209064875288,No,0.25258069802538297,No,0.0139824575973139,No,0.6798679867986799
BCL7A,NM_020993,-16.013836258987137,-16.600820520682046,-16.825930335288582,-15.94590512012187,71.0,-0.39902912621359227,-0.3858169934640523,-0.0685184349365114,No,0.60281806377032,No,0.7464984,No,0.4325012,No,0.7087378640776699
NOP14,NM_001291978,-16.013938294597654,-16.63109798610919,-16.82734627933819,-15.956954956308456,98.0,-0.4884491978609626,-0.4868292682926829,-0.237861519330099,No,0.0115339840702296,No,0.262552920589362,No,0.0271414099122676,No,0.6951871657754011
TSR1,NM_018128,-16.02745483842764,-16.63239673572173,-16.828012019646522,-15.971880606525133,104.0,-0.460135841170324,-0.4650804162724692,-0.216122948688269,No,-0.24418702658187602,No,-0.2106314,No,-0.2828772,No,0.6520376175548589
TRIM65,NM_173547,-16.03274142156075,-16.637923645056787,-16.83172355987891,-15.984537770923595,102.0,-0.4953030303030303,-0.4720481927710843,0.518304959020268,No,0.6652305210371321,No,0.29056570000000004,No,0.04707401,No,0.8181818181818182
